ID,EventGroup,Name,Name_,UnlockLV,Days,InGame,Pros,EnterType,Des,Des_,Tags,WeightOffset,RaceSpecial,OptionDes,OptionDes_,OptionScript1,Args1,Weight1,Group1,Jump1,OptionScript2,Args2,Weight2,Group2,Jump2,OptionScript3,Args3,Weight3,Group3,Jump3,PilotBanList
5300,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 > 杂项\n--------------------\n按住快捷键再选择能量原料选项可快速操作：\n1~9点的能量原料：大键盘数字键1~9\n橙色能量原料：R键\n蓝色能量原料：B键\n白色能量原料：W键,,,,,增加能量原料,,OC2_PageInit,;5310;;;,,1,5350,OC2_Energy,;1;;;,,2,,,,,,,
5300,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,减少能量原料,,OC2_PageInit,;5320;;;,,1,5350,OC2_Energy,;-1;;;,,2,,,,,,,
5300,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,升级改造，复制移除，飞船负载，宇宙商店,,OC2_PageInit,;5330;;;,,,5350,,,,,,,,,,,
5300,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,设定悬赏,,OC_Jump,,,,5340,,,,,,,,,,,
5300,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,返回,,OC_Jump,,,,5000,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,(cut),,,,,增加白色,,OC_AddPowerColor,;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加蓝色,,OC_AddPowerColor,;2;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加橙色,,OC_AddPowerColor,;3;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加1点,,OC_AddPower,;1;;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加2点,,OC_AddPower,;2;;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加3点,,OC_AddPower,;3;;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加4点,,OC_AddPower,;4;;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加5点,,OC_AddPower,;5;;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加6点,,OC_AddPower,;6;;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加7点,,OC_AddPower,;7;;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加8点,,OC_AddPower,;8;;1;;;,,,-1,,,,,,,,,,,
5310,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,增加9点,,OC_AddPower,;9;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,(cut),,,,,移除白色,,OC_RemovePowerByColor,;1;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除蓝色,,OC_RemovePowerByColor,;2;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除橙色,,OC_RemovePowerByColor,;3;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除1点,,OC_RemovePowerByPoint,;1;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除2点,,OC_RemovePowerByPoint,;2;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除3点,,OC_RemovePowerByPoint,;3;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除4点,,OC_RemovePowerByPoint,;4;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除5点,,OC_RemovePowerByPoint,;5;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除6点,,OC_RemovePowerByPoint,;6;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除7点,,OC_RemovePowerByPoint,;7;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除8点,,OC_RemovePowerByPoint,;8;;1;;;,,,-1,,,,,,,,,,,
5320,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,移除9点,,OC_RemovePowerByPoint,;9;;1;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,(cut),,,,,<g>选择1个部件升级。</g>,,OC_UpgradeUnit,,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件复制。</g>,,OC_CopyUnit,,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<b>选择1个部件移除。</b>,,OC_RemoveUnits,;1;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<b>移除所有未装备的部件。</b>,,OC_RemoveAllInventoryItems,,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，增加1个白色槽位。</g>,,OC_SlotRefit,;0;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，增加1个蓝色槽位。</g>,,OC_SlotRefit,;1;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，增加1个橙色槽位。</g>,,OC_SlotRefit,;2;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，增加一个颜色最高的槽位。</g>,,OC_SlotRefit,;3;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，增加一个颜色最低的槽位。</g>,,OC_SlotRefit,;4;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，移除一个颜色最高的槽位。</g>,,OC_SlotRefit,;5;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，移除一个颜色最低的槽位。</g>,,OC_SlotRefit,;6;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，降低最高槽位的颜色。</g>,,OC_SlotRefit,;7;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<b>选择1个部件，增加1点负载。</b>,,OC_SlotRefit,;8;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，降低1点负载</g>,,OC_SlotRefit,;9;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个部件，复制上一个改造。</g>,,OC_SlotRefit,;10;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>选择1个攻击部件，使其在战斗中具有1点功率。</g>,,OC_SlotRefit,;11;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<b>选择1个部件，移除所有槽位。</g>,,OC_SlotRefit,;12;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>飞船负载+1</g>,,OC2_LoadLimit,;1;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<b>飞船负载-1</b>,,OC2_LoadLimit,;-1;;;,,,-1,,,,,,,,,,,
5330,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,<g>进入商店</g>,,OC_Shop,,,,-1,,,,,,,,,,,
5340,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 > 杂项 > 修改悬赏令\n--------------------\n按住A-Z键再选择选项可设定拼音首字母筛选器。,,,,,修改下一场战斗的敌人,,OC2_PageInit,;-5;;;,,,5350,,,,,,,,,,,
5340,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,修改下一场战斗的战斗事件,,OC2_PageInit,;-6;;;,,,5350,,,,,,,,,,,
5340,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,返回,,OC_Jump,,,,5300,,,,,,,,,,,
5350,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,{0},,,,,[0],,OC2_PageTurn,;-1;;;,,,-1,,,,,,,,,,,
5350,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageItem,,,,5360,,,,,,,,,,,
5350,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageItem,,,,5360,,,,,,,,,,,
5350,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageItem,,,,5360,,,,,,,,,,,
5350,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageItem,,,,5360,,,,,,,,,,,
5350,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageTurn,;1;;;,,,-1,,,,,,,,,,,
5360,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,{0},,,,,[0],,OC2_PageTurn,;-1;;;,,,-1,,,,,,,,,,,
5360,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageItem,,,,-1,,,,,,,,,,,
5360,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageItem,,,,-1,,,,,,,,,,,
5360,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageItem,,,,-1,,,,,,,,,,,
5360,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageItem,,,,-1,,,,,,,,,,,
5360,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageTurn,;1;;;,,,-1,,,,,,,,,,,
5000,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 >,,,,,检索部件，宝物，天赋，事件,,OC_Jump,,,,5400,,,,,,,,,,,
5400,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 > 检索部件，宝物，天赋，事件\n--------------------\n按住A-Z键再选择选项可设定拼音首字母筛选器。,,,,,检索部件,,OC2_PageInit,;-1;;;,,,5350,,,,,,,,,,,
5400,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,检索宝物,,OC2_PageInit,;-2;;;,,,5350,,,,,,,,,,,
5400,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,检索天赋,,OC2_PageInit,;-3;;;,,,5350,,,,,,,,,,,
5400,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,检索事件,,OC2_PageInit,;-4;;;,,,5350,,,,,,,,,,,
5400,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,返回,,OC_Jump,,,,5000,,,,,,,,,,,
5000,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,返回,,OC_Jump,,,,100,,,,,,,,,,,
100,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[赌博] 随机进入一个赌博事件,,OC_Jump_5000,;5500;;;,,,,,,,,,,,,,,
5500,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你来到一处赌场，这里的赌注竟然是部件。,,,,,[槽位赌博] <g>[0]%概率增加一个白色槽位</b>（若成功则可重复触发），<b>失败时移除部件</b>,,OC2_GambleSlot_5500,;40;;;,,,,,,,,,,,,,,
5500,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[复制赌博] <g>[0]%概率升级并复制一份<b>（若成功则可重复触发）。<b>失败时移除部件</b>,,OC2_GambleDupe_5501,;30;;;,,,,,,,,,,,,,,
5500,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[离开] ,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你竟然开出了最大的牌型！周围的人群投来羡慕的目光，你看到人群中有几个人攥紧了拳头。,,,,,[离开] 获得[0],,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你竟然开出了最大的牌型！周围的人群投来羡慕的目光，你看到人群中有几个人攥紧了拳头。,,,,,[离开] 获得[0],,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你输了！你咬牙切齿：不亏！我早就看这个部件不顺眼了！,,,,,[离开],,OC_JumpCondition_,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你气的三天三夜睡不着觉，还是觉得自己亏大了。,,,,,[离开],,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你来到一处传闻中的赌场，但这里似乎早已废弃了。<bounce>一阵亚空间波动从半掩的大门向外迸散</bounce>，你有种不祥的预感。,,,,,[进入] <g>50%概率获得一个宝物</g>，<b>50%概率受到[0]点伤害</b>,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[探测] （树人专属）探测选项内容,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[离开],,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你来到一处招牌名为"竞技模式"的赌场，一旁的狗头人推销员在揽客：<bounce>选择你的职业，构建没有限制的孤星牌牌组，赢得诸多奖励！最高可达12胜！</bounce>,,,,,[购买门票] <b>失去12星币</b>，<g>进入竞技场</g>（胜利场次越多奖励越多，只有三次失败机会）,,OC_StarCoinLose,;12;;;,,1,OC2_,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[离开],,OC_Close,,,,,,,,,,,,,,,
5511,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你的对手是<r>高塔评估者#8341</r>，对面第一回合进入威力翻倍状态，打出诸神的火炮把你秒杀了，你甚至还倒欠他两条命。\n你的对手是<r>高塔评估者#8341</r>，对手连续打出时空之门，你被打死时甚至还没轮到你的回合。\n你第一回合打出偏差引擎获得了极大的优势，但是打到后面功率掉光了，最终被名为<r>巨型脑袋#2731</r>的牌手一击必杀。你不得不吐槽这个职业实在是太弱了。\n你被随机到了一名你第四喜欢的角色，随后被名为<r>蛇术士#1145</r>的牌手一波带走。\n你选择了阴影猎手职业，但是发牌太差被<r>大腭虫#0101</r>斩于马下\n对手<r>催眠大师#457</r>是一只长相奇特的蜗牛，你在打出若干匕首牌后突然晕了过去，醒来时发现已经输了。\n你的祭品术沉底了，没有祭品术你啥都打不出来，被<r>带壳怪#785</r>一招重击带走。\n你的灼热引擎+15被对手<r>银质人偶#2336</r>偷走了，你人傻了，直接缴械投降。,,,,,[继续] 失败,,OC2_ArenaUpdate,;1;;;,,,,,,,,,,,,,,
5511,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[结算] 结算,,,,,,,,,,,,,,,,,
5512,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,你一进来就看到对手<r>红裤衩#0237</r>准备打坚冰-诵剑无限，你邪魅一笑，往对面牌库中塞了5张状态牌，对面竟然直接投降了。\n对手<r>农神来啦#11192805</r>打了一张壁垒术就没能量了，你使用102伤害的诛仙剑阵将其秒杀。\n你打出传说级卡牌<bounce>华丽烟花</bounce>技惊全场。烟花落下之时，对手死期之至。\n<r>洁癖猎手#1473</r>带着新手套牌匹配到你，你一刀重击27将其送走。\n对手<r>鸡煲人上人#0001</r>是全宇宙闻名的自恋狂。鸡煲一进来，大家就冲着他笑。有的人说，你又没抽到部件整理吧。鸡煲不说话，便排出三文星币，对老板说：“删一张打，火堆睡一觉”，有的人冲他喊：“你一定是又被三海盗逮住了吧”，鸡煲便涨红了脸，说什么“我鸡煲人上人”，“三海盗不讲武德，来骗，来偷袭”，“等我启动了乱杀”什么的，屋里屋外充满了欢乐的气息。你匹配到鸡煲之后，发现他还是一如既往的启动困难，甚至可以说没有什么还手能力。<bounce>你很轻松就把他拿下了</bounce>。\n你选到了以强大灌伤能力著称的灌者职业。在对局中打出了三倍威力的招牌攻击，仅凭产生的冲击波特效就将对手击溃。这就是灌者给我带来的自信。\n你选到了以强大灌伤能力著称的灌者职业。在战斗中你连续打出红色连击牌和蓝色连击牌，疾风一样的连击让对手猝不及防。你听到有人在议论：“灌批收收味”“玩灌者玩的”。不过真正的强者从来不在意这些。你很轻松就赢得了比赛的胜利。,,,,,[继续] 成功,,OC2_ArenaUpdate,;-1;;;,,,,,,,,,,,,,,
5512,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[结算] 结算,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,,,,,,,,,,,,,,,,,,
5510,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,你来到一处赌场，一群彪形大汉把你围起来，带头的说你是这个赌场的老赖,,,,,[还钱] <b>失去[0]星币</b>,,OC_StarCoinLose,;20;;;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,[逃跑] <b>受到[0]点伤害。</b>,,OC_LoseHpToOne,,,,,,,,,,,,,,,
